Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.42,,-41.53,-117.180494,46.732215,-301.7922563885495,72.25660936327401,934.453722785144,2.6261898975466984,0.1694127768012095,0.1853994274641547,0.0314090318240568,0.0,0.0,161.04524692595191,16.753262887543183,210.29217377872024,0.0,0.0538774641065899,0.0,0.0099888509985823
CM_001-2,-117.180494,46.732215,8.66,6.5,10.42,,-47.82,-117.180494,46.732215,-301.7922563885495,72.25660936327401,934.453722785144,2.6261898975466984,0.1694127768012095,0.1853994274641547,0.0314090318240568,0.0,0.0,161.04524692595191,16.753262887543183,210.29217377872024,0.0,0.0538774641065899,0.0,0.0099888509985823
CM_001-3,-117.180494,46.732215,8.66,6.5,10.42,,-42.31,-117.180494,46.732215,-301.7922563885495,72.25660936327401,934.453722785144,2.6261898975466984,0.1694127768012095,0.1853994274641547,0.0314090318240568,0.0,0.0,161.04524692595191,16.753262887543183,210.29217377872024,0.0,0.0538774641065899,0.0,0.0099888509985823
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.58,,-83.28,-77.388447,38.7819267,-137.20190640174374,73.47517943765033,934.5484116587222,0.1986212483351948,0.1725124219844752,0.0140219356406636,0.0024189580782812,0.0,0.0,44.965782238689954,16.62211353514677,210.2833796045255,0.0,0.0551255484229682,0.0,0.0007729668921431
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.58,,-173.76,-77.388447,38.7819267,-137.20190640174374,73.47517943765033,934.5484116587222,0.1986212483351948,0.1725124219844752,0.0140219356406636,0.0024189580782812,0.0,0.0,44.965782238689954,16.62211353514677,210.2833796045255,0.0,0.0551255484229682,0.0,0.0007729668921431
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.58,,-6.67,-77.1803039,40.1046605,-65.45709981903522,75.49574018110204,934.7096847883296,0.7922114640672712,0.1770468248746342,0.0559272396888809,0.0099017402109189,0.0,0.0,24.35497211882309,17.467234203852712,210.3506651709411,0.0,0.0565661749032678,0.0,0.0031635900220982
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.58,,-8.08,-77.1803039,40.1046605,-65.45709981903522,75.49574018110204,934.7096847883296,0.7922114640672712,0.1770468248746342,0.0559272396888809,0.0099017402109189,0.0,0.0,24.35497211882309,17.467234203852712,210.3506651709411,0.0,0.0565661749032678,0.0,0.0031635900220982
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.58,,-9.91,-77.1803039,40.1046605,-65.45709981903522,75.49574018110204,934.7096847883296,0.7922114640672712,0.1770468248746342,0.0559272396888809,0.0099017402109189,0.0,0.0,24.35497211882309,17.467234203852712,210.3506651709411,0.0,0.0565661749032678,0.0,0.0031635900220982
CM_004-1,-73.19778,42.72306,14.89,6.5,11.49,,-7.22,-73.19778,42.72306,-63.079000677338925,75.57535427449815,934.7162724146444,0.6306796380736654,0.1772708325249612,0.0445236819779818,0.0078927501713134,0.0,0.0,24.198764962966266,17.484584217122347,210.35134678735335,0.0,0.0568117463387432,0.0,0.0025294681265999
CM_004-2,-73.19778,42.72306,14.89,6.5,11.49,,-17.87,-73.19778,42.72306,-63.079000677338925,75.57535427449815,934.7162724146444,0.6306796380736654,0.1772708325249612,0.0445236819779818,0.0078927501713134,0.0,0.0,24.198764962966266,17.484584217122347,210.35134678735335,0.0,0.0568117463387432,0.0,0.0025294681265999
