Sample_ID,Sample_Longitude_avg,Sample_Latitude_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_avg,mean.error_avg,predict.error_avg,pca.dist_avg,mean.error.scaled_avg,pca.dist.scaled_avg,combined.metric_avg,Sample_Longitude_std,Sample_Latitude_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_std,mean.error_std,predict.error_std,pca.dist_std,mean.error.scaled_std,pca.dist.scaled_std,combined.metric_std,ensemble_spread_metric
CM_108-3,-78.63541,37.41459,-62.582298875483886,75.60663891608087,934.7188449493606,0.0487907546645696,0.1773185184879936,0.003444449309932,0.0006107646486441,0.0,0.0,25.3650831218305,17.503984711717873,210.3527502644808,0.0,0.0567202254727583,0.0,0.0001953699414888,3.254646345991674e-05
CM_108-1,-78.63541,37.41459,-62.94651691775312,75.5994890728666,934.71827919491,0.0487907546645696,0.1773044172336492,0.003444449309932,0.0006107160775883,0.0,0.0,25.85247832525208,17.49543284629997,210.35197686109817,0.0,0.0567001623650131,0.0,0.0001953008351312,3.3171850339293714e-05
CM_108-2,-78.63541,37.41459,-62.665715340135456,75.61202270605384,934.7192919541168,0.0487907546645696,0.1773259124844291,0.003444449309932,0.00061079011689,0.0,0.0,26.630356443140904,17.500899103227596,210.35243669452893,0.0,0.0566623442065588,0.0,0.0001951705724014,3.416996186207237e-05
CM_101-2,-80.9569115,33.9959631,-63.50576539320163,75.5692024948685,934.7160051605566,0.1573081335638103,0.1771758698530278,0.0111053804317159,0.001967605438038,0.0,0.0,27.156842265406677,17.68538771709844,210.36699682869812,0.0,0.0568233311215961,0.0,0.0006310447095026,0.00011234672764399115
CM_101-1,-80.9569115,33.9959631,-64.06680412412608,75.54956643701271,934.7143786579314,0.1573081335638103,0.1771323952659998,0.0111053804317159,0.0019671226362099,0.0,0.0,26.67849286801188,17.67423697407322,210.3662531509969,0.0,0.0568111113713978,0.0,0.0006309090045279,0.00011036781607015776
CM_101-3,-80.9569115,33.9959631,-63.63415697905957,75.56388197692999,934.715561686315,0.1573081335638103,0.1771658560424518,0.0111053804317159,0.001967494230862,0.0,0.0,26.97233964727503,17.67785914707881,210.36642990136187,0.0,0.0568169803176,0.0,0.0006309741814082,0.00011158344798186179
CM_063-2,-71.035868,43.079493,-45.66545636179086,76.1069765795688,934.759548019982,0.1690329900688827,0.1786058885595217,0.0119331125333322,0.0021313241672965,0.0,0.0,22.5299818866673,17.584706628439502,210.35899288298103,0.0,0.057701934322117,0.0,0.0006885636756567,0.00010015261551921109
CM_063-1,-71.035868,43.079493,-45.59758816021037,76.10917005437906,934.7597263519368,0.1690329900688827,0.1786103684514261,0.0119331125333322,0.0021313776263507,0.0,0.0,22.559294334996032,17.585540610156826,210.3590638871584,0.0,0.0577006880433152,0.0,0.0006885488036715,0.00010028291825900742
CM_063-3,-71.035868,43.079493,-44.05865055731775,76.16322442395882,934.7641424236136,0.1690329900688827,0.1787166266972042,0.0119331125333322,0.0021326456179552,0.0,0.0,23.18637193364853,17.617088557073185,210.36163764660063,0.0,0.0576724862132758,0.0,0.00068821226806,0.00010307046873083977
CM_002-1,-77.388447,38.7819267,-137.20190640174374,73.47517943765033,934.5484116587222,0.1986212483351948,0.1725124219844752,0.0140219356406636,0.0024189580782812,0.0,0.0,44.965782238689954,16.62211353514677,210.2833796045255,0.0,0.0551255484229682,0.0,0.0007729668921431,0.0002348755657022459
